This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Wed Aug 18 23:51:48 2021

"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ACWG ESM","ACWG TSM","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"274170255","1380.01","","5","5","5","5","5","5","5","34.1","53.3","0","2","2","PC","FP","9.32845","0.006","1","qlp","316.446344","46.845151","19.689","0.046","2.774","0.047","2458712.04951","0.0055","1.41072","0.00028","2.623","0.4","0.543004","0.001148","500","1.05689","8.4993","","2001.09","1863","14","305.674","2.7495","5197","122","","","3.84","","","","15,16","Crowded field; likely EB; some depth-aperture correlation","2019-10-30","2020-05-20","2021-06-01"
"275722992","1381.01","","3","4","3","3","4","4","4","13.5","49.7","1","1","4","PC","PC","10.379","0.019","1","qlp","318.784961","44.899679","-4.862","0.066","-8.024","0.053","2458715.31816","0.00713","6.56034","0.00137","3.032","0.508","1.705945","0.003873","1570","3.56728","10.6631","0.627634","1676.02","1782","14","737.108","18.431","9976","352","4.01","0.06","2.62","0.08","","","15,16","2 stars in pixel","2019-10-30","2020-05-20","2021-06-01"
"276360911","1382.01","","5","5","5","5","5","5","5","62","282.3","2","1","1","PC","FA","9.62426","0.006","1","qlp","329.05345","55.740977","12.362","0.053","3.363","0.056","2458738.89623","0.00188","0.44482","0.00005","1.058","0.174","1.749444","0.00793","1610","7.30347","10.8884","0.742264","14152.2","3038","11","285.666","2.732","7184","558.2","4.1","0.12","1.88","0.08","","","16,17","","2019-10-30","2020-05-20","2021-06-01"
"313506357","1383.01","","5","5","5","5","5","5","5","37.3","148.7","1","1","0","PC","FP","9.5621","0.006","1","qlp","347.757547","45.93369","45.999","0.044","0.128","0.039","2458739.626221","0.00161","1.53709","0.00018","2.35","0.153","1.927448","0.000855","1773.670044","0.787407","6.70661","0.304262","2167.560059","1900","44","178.003","0.896","6023.100098","122.099998","4.24","0.09","1.45","0.06","","","16,17","likely off target; centroid offset; needs follow-up photometry","2019-10-30","2019-12-17","2021-06-01"
"328167090","1384.01","","5","5","5","5","5","5","5","17.6","59.7","1","2","2","PC","FP","10.0009","0.006","1","qlp","331.663464","55.686255","-2.097","0.061","-9.395","0.048","2458739.015381","0.00606","0.71255","0.00025","1.809","0.516","0.500818","0.003698","461.164001","3.40608","4.95885","0.458601","4431.5","2273","17","235.218","1.7195","5128.899902","90.099998","3.88","","2.1","0.07","","","16,17","likely variability; needs follow-up photometry; TFOP FP","2019-10-30","2019-12-17","2021-06-01"
"329864959","1385.01","","5","5","5","5","5","5","5","251.8","837.1","1","1","4","PC","FP","8.437","0.023","1","qlp","333.245043","53.98452","4.7","1.2","-5.3","1.3","2458739.967407","0.00077","4.52318","0.00024","5.099","0.148","27.609958","0.004434","25109.099609","4.08384","","","","","191","324.346","","","","","","","","","","16,17","TFOP FP","2019-10-30","2019-12-17","2021-06-01"
"343019899","1386.01","","3","4","3","3","4","4","4","0","10.2","0","20","4","PC","PC","10.0618","0.006","1","qlp","334.504103","54.319045","55.052","0.05","10.638","0.044","2458752.31132","0.00193","","","5.694","0.842","4.079164","0.002161","3750","1.99008","6.551","0.370296","","","18","146.858","0.6835","5769","146.5","4.43","0.08","1.03","0.05","","","16,17","single transit","2019-10-30","2020-05-20","2021-06-01"
"343442463","1387.01","","5","5","5","5","5","5","5","16.1","104.8","1","1","6","PC","FP","8.95861","0.006","1","qlp","341.518718","55.162935","14.058","0.074","-1.994","0.061","2458739.522217","0.0029","0.78381","0.00015","1.443","0.189","0.46273","0.001257","426.098999","1.1574","3.89595","0.236466","9401.360352","2743","18","239.688","2.551","7842","120.199997","4.22","0.08","1.72","0.05","","","16","","2019-10-30","2019-12-17","2021-06-01"
"346338552","1388.01","","5","5","5","5","5","5","5","155.9","178.3","0","0","0","KP","KP","9.76031","0.006","1","qlp","344.445363","38.674919","32.384","0.041","-41.751","0.044","2458739.94268","0.00048","4.46491","0.0002","2.703","0.214","17.026871","0.003487","15560","3.21152","15.2857","0.71242","437.171","1273","124","158.979","0.971","6051.2","106.5","4.35","0.08","1.18","0.05","0.15784","0.00681689","16","HAT-P-1b","2019-10-30","2020-05-20","2021-06-01"
"353038705","1389.01","","3","4","3","3","2","4","4","8.6","64.8","4","2","2","PC","PC","9.957501","0.006","1","qlp","333.131944","31.364667","1","1.9","-2.6","1.9","2458711.76216","0.00374","3.06317","0.00037","1.831","0.161","0.803742","0.00176","740","1.62131","","","168.9","1004","11","","","5086.8","115.6","","","","","","","15,16","Need stellar radius","2019-10-30","2020-05-20","2021-06-01"
